fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
2	40	287	327	1.5	1.5	WD	807	41	166	67392	0.886326194398682	0.8975468813947513	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851827955025938	7690	3845	3845	68406	973	67433	327	50.64139366149902	4.180835008621216
3	40	287	327	1.5	1.5	WD	801	52	172	72419	0.8773274917853231	0.8841528457258652	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836165674406702	7690	3845	3845	73444	973	72471	327	48.6563081741333	4.448991298675537
4	40	287	327	1.5	1.5	WD	764	28	160	70783	0.8904428904428905	0.8877136374875652	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870045198666457	7788	3894	3894	71735	924	70811	327	51.37239933013916	4.425680637359619
5	40	287	327	1.5	1.5	WD	765	52	189	70574	0.8639186900056466	0.8827351009559395	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883489822462802	7728	3864	3864	71580	954	70626	327	51.31107044219971	4.188917875289917
1	40	287	327	1.55	1.55	WD	783	30	211	66130	0.8666297731045931	0.8769840324427471	0.9630996309963099	0.7877263581488934	0.999546553808948	0.9964112338803347	0.9855489953019203	7648	3824	3824	67154	994	66160	327	48.55116319656372	4.101840257644653
2	40	287	327	1.55	1.55	WD	807	41	166	67392	0.886326194398682	0.8983874671126081	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851963600305547	7690	3845	3845	68406	973	67433	327	49.06022024154663	4.248478651046753
3	40	287	327	1.55	1.55	WD	801	52	172	72419	0.8773274917853231	0.8846076838368404	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836213466142738	7690	3845	3845	73444	973	72471	327	52.319883584976196	4.524678945541382
4	40	287	327	1.55	1.55	WD	764	28	160	70783	0.8904428904428905	0.8895759092679576	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870171441678693	7788	3894	3894	71735	924	70811	327	53.57657432556152	4.658385753631592
5	40	287	327	1.55	1.55	WD	765	52	189	70574	0.8639186900056466	0.8827538704909791	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.988363824061325	7728	3864	3864	71580	954	70626	327	54.970996141433716	4.580364227294922
1	40	287	327	1.6	1.6	WD	783	30	211	66130	0.8666297731045931	0.876475550818302	0.9630996309963099	0.7877263581488934	0.999546553808948	0.9964112338803347	0.9855551689824559	7648	3824	3824	67154	994	66160	327	51.83847165107727	4.042698383331299
2	40	287	327	1.6	1.6	WD	807	41	166	67392	0.886326194398682	0.8975501091091671	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851960552097015	7690	3845	3845	68406	973	67433	327	51.26237988471985	4.263052940368652
3	40	287	327	1.6	1.6	WD	801	52	172	72419	0.8773274917853231	0.8847309715236331	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836228640373469	7690	3845	3845	73444	973	72471	327	60.536287784576416	4.340052843093872
4	40	287	327	1.6	1.6	WD	764	28	160	70783	0.8904428904428905	0.8893044439268952	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.987020888663995	7788	3894	3894	71735	924	70811	327	52.82215428352356	4.363025665283203
5	40	287	327	1.6	1.6	WD	765	52	189	70574	0.8639186900056466	0.8827578546441194	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.988364506784817	7728	3864	3864	71580	954	70626	327	57.68969702720642	4.55193305015564
1	40	287	327	1.65	1.65	WD	783	30	211	66130	0.8666297731045931	0.8780490616693435	0.9630996309963099	0.7877263581488934	0.999546553808948	0.9964112338803347	0.9855603846780805	7648	3824	3824	67154	994	66160	327	72.40224623680115	4.461284637451172
2	40	287	327	1.65	1.65	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	58.54020667076111	4.622646808624268
3	40	287	327	1.65	1.65	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	58.10667300224304	4.408480405807495
4	40	287	327	1.65	1.65	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	51.8087317943573	4.1474480628967285
5	40	287	327	1.65	1.65	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	47.48976516723633	4.246020317077637
1	40	287	327	1.7	1.7	WD	783	31	211	66129	0.8661504424778761	0.8771484266844312	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855574194866903	7648	3824	3824	67154	994	66160	327	51.649513483047485	4.229326009750366
2	40	287	327	1.7	1.7	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	49.80607604980469	4.4779229164123535
3	40	287	327	1.7	1.7	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	58.57821249961853	4.317583322525024
4	40	287	327	1.7	1.7	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	56.31687808036804	4.600960731506348
5	40	287	327	1.7	1.7	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	55.953070402145386	4.717501163482666
1	40	287	327	1.75	1.75	WD	783	31	211	66129	0.8661504424778761	0.878577175458983	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855623766784504	7648	3824	3824	67154	994	66160	327	49.93950057029724	4.451255559921265
2	40	287	327	1.75	1.75	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	58.94118809700012	4.578519821166992
3	40	287	327	1.75	1.75	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	57.725120306015015	5.156362771987915
4	40	287	327	1.75	1.75	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	60.437110900878906	4.462181091308594
5	40	287	327	1.75	1.75	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	60.599350690841675	4.440605640411377
