fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	40	287	327	0.125	0.125	WD	198	2	796	66158	0.3316582914572864	0.8392145383676708	0.99	0.19919517102615694	0.9999697702539299	0.9881168657116478	0.9770955843890428	7648	3824	3824	67154	994	66160	327	10.20589804649353	4.6834797859191895
2	40	287	327	0.125	0.125	WD	200	0	773	67433	0.3410059676044331	0.868778040558357	1.0	0.20554984583761562	1.0	0.9886998216530714	0.9788596374500401	7690	3845	3845	68406	973	67433	327	13.171121835708618	4.734786510467529
3	40	287	327	0.125	0.125	WD	218	1	755	72470	0.365771812080537	0.8610513931707482	0.9954337899543378	0.22404933196300103	0.9999862013771026	0.9897064430041936	0.9792163525225095	7690	3845	3845	73444	973	72471	327	11.748807191848755	4.766573905944824
4	40	287	327	0.125	0.125	WD	197	0	727	70811	0.3514719000892061	0.8573210231341436	1.0	0.2132034632034632	1.0	0.9898654771032271	0.979147726393917	7788	3894	3894	71735	924	70811	327	12.278623819351196	5.075156211853027
5	40	287	327	0.125	0.125	WD	205	0	749	70626	0.3537532355478861	0.8471375067799768	1.0	0.2148846960167715	1.0	0.9895361832914222	0.981282289481766	7728	3864	3864	71580	954	70626	327	13.889242172241211	4.967618703842163
1	40	287	327	0.25	0.25	WD	465	5	529	66155	0.6352459016393444	0.8496307479301358	0.9893617021276596	0.4678068410462777	0.9999244256348246	0.9920481281829824	0.9789616781705954	7648	3824	3824	67154	994	66160	327	21.60535192489624	4.242626190185547
2	40	287	327	0.25	0.25	WD	460	0	513	67433	0.6420097697138869	0.877936295898003	1.0	0.4727646454265159	1.0	0.9925006578370318	0.9803599656887552	7690	3845	3845	68406	973	67433	327	17.854444980621338	4.424058675765991
3	40	287	327	0.25	0.25	WD	487	1	486	72470	0.6666666666666666	0.8697598078198372	0.9979508196721312	0.5005138746145941	0.9999862013771026	0.9933690975437067	0.9804118833626941	7690	3845	3845	73444	973	72471	327	18.46991276741028	4.630012035369873
4	40	287	327	0.25	0.25	WD	455	4	469	70807	0.6579898770788142	0.868066256251909	0.9912854030501089	0.49242424242424243	0.9999435116013049	0.9934062870286471	0.9809172988445982	7788	3894	3894	71735	924	70811	327	18.720650672912598	4.629236221313477
5	40	287	327	0.25	0.25	WD	479	0	475	70626	0.6685275645498954	0.8568897662827517	1.0	0.5020964360587002	1.0	0.993364068175468	0.98300848162236	7728	3864	3864	71580	954	70626	327	17.999449968338013	4.515114784240723
1	40	287	327	0.5	0.5	WD	676	6	318	66154	0.8066825775656326	0.8628637387693927	0.9912023460410557	0.6800804828973843	0.9999093107617896	0.9951752687851804	0.9824580493845784	7648	3824	3824	67154	994	66160	327	30.499918699264526	4.337035179138184
2	40	287	327	0.5	0.5	WD	683	4	290	67429	0.8228915662650602	0.8912877694058521	0.9941775836972343	0.7019527235354573	0.9999406818619964	0.9957021313919832	0.9826820299831242	7690	3845	3845	68406	973	67433	327	30.923696517944336	4.2088634967803955
3	40	287	327	0.5	0.5	WD	683	4	290	72467	0.8228915662650602	0.8804496318506684	0.9941775836972343	0.7019527235354573	0.9999448055084103	0.9959969500571865	0.9822563891063035	7690	3845	3845	73444	973	72471	327	31.225054264068604	4.443028688430786
4	40	287	327	0.5	0.5	WD	657	4	267	70807	0.8290220820189275	0.8821797684981557	0.9939485627836612	0.711038961038961	0.9999435116013049	0.9962222067331149	0.9842237500581543	7788	3894	3894	71735	924	70811	327	33.97952485084534	4.641323804855347
5	40	287	327	0.5	0.5	WD	660	1	294	70625	0.8173374613003097	0.8716360226080664	0.9984871406959153	0.6918238993710691	0.9999858409084473	0.9958787370773959	0.9860904290418463	7728	3864	3864	71580	954	70626	327	31.78732395172119	4.4159557819366455
1	40	287	327	1.0	1.0	WD	762	16	232	66144	0.8600451467268624	0.8724117643471737	0.9794344473007712	0.7665995975855131	0.999758162031439	0.9963069958602615	0.984812487378929	7648	3824	3824	67154	994	66160	327	39.06642031669617	4.163557291030884
2	40	287	327	1.0	1.0	WD	786	19	187	67414	0.8841394825646793	0.8977810407649052	0.9763975155279503	0.8078108941418294	0.9997182388444826	0.9969885682542468	0.9843833266102554	7690	3845	3845	68406	973	67433	327	39.83988928794861	4.355683326721191
3	40	287	327	1.0	1.0	WD	784	22	189	72449	0.8813940415964024	0.8825831027276548	0.9727047146401985	0.8057553956834532	0.9996964302962564	0.997127062796144	0.9832709069735559	7690	3845	3845	73444	973	72471	327	43.56069755554199	4.692653179168701
4	40	287	327	1.0	1.0	WD	747	13	177	70798	0.8871733966745844	0.8900144647356003	0.9828947368421053	0.8084415584415584	0.9998164127042408	0.9973513626542134	0.9865384294427805	7788	3894	3894	71735	924	70811	327	44.8153817653656	4.262705564498901
5	40	287	327	1.0	1.0	WD	746	18	208	70608	0.8684516880093132	0.8792571584978711	0.9764397905759162	0.7819706498951782	0.9997451363520516	0.9968426934898016	0.9877126394262368	7728	3864	3864	71580	954	70626	327	43.32284474372864	4.275434970855713
1	40	287	327	2.0	2.0	WD	783	31	211	66129	0.8661504424778761	0.8767133521930203	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855565679445477	7648	3824	3824	67154	994	66160	327	49.605303049087524	4.140400648117065
2	40	287	327	2.0	2.0	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	50.898430824279785	4.2726969718933105
3	40	287	327	2.0	2.0	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	62.17249941825867	4.344401836395264
4	40	287	327	2.0	2.0	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	59.6294527053833	4.914186239242554
5	40	287	327	2.0	2.0	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	51.50755834579468	4.304694890975952
1	40	287	327	4.0	4.0	WD	783	31	211	66129	0.8661504424778761	0.8767133521930203	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855565679445477	7648	3824	3824	67154	994	66160	327	51.506240129470825	4.301807880401611
2	40	287	327	4.0	4.0	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	51.799323320388794	4.374009370803833
3	40	287	327	4.0	4.0	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	49.29002571105957	4.557159185409546
4	40	287	327	4.0	4.0	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	49.46700596809387	4.280271053314209
5	40	287	327	4.0	4.0	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	52.393829345703125	4.644429922103882
1	40	287	327	8.0	8.0	WD	783	31	211	66129	0.8661504424778761	0.8767133521930203	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855565679445477	7648	3824	3824	67154	994	66160	327	55.02533936500549	4.345935344696045
2	40	287	327	8.0	8.0	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	50.95558476448059	4.4019763469696045
3	40	287	327	8.0	8.0	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	54.31517672538757	4.40550684928894
4	40	287	327	8.0	8.0	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	57.983566761016846	4.4316160678863525
5	40	287	327	8.0	8.0	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	50.71913504600525	4.130447149276733
1	40	287	327	16.0	16.0	WD	783	31	211	66129	0.8661504424778761	0.8767133521930203	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855565679445477	7648	3824	3824	67154	994	66160	327	46.94297909736633	4.02001953125
2	40	287	327	16.0	16.0	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	47.484723806381226	4.097215414047241
3	40	287	327	16.0	16.0	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	58.610121726989746	4.310114145278931
4	40	287	327	16.0	16.0	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	53.47633409500122	4.400910377502441
5	40	287	327	16.0	16.0	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	69.65109705924988	4.346070051193237
1	40	287	327	32.0	32.0	WD	783	31	211	66129	0.8661504424778761	0.8767133521930203	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855565679445477	7648	3824	3824	67154	994	66160	327	78.69561505317688	4.109867334365845
2	40	287	327	32.0	32.0	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	56.35575485229492	4.345065593719482
3	40	287	327	32.0	32.0	WD	801	52	172	72419	0.8773274917853231	0.8850384229043783	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.983624097829939	7690	3845	3845	73444	973	72471	327	50.716124534606934	4.35895037651062
4	40	287	327	32.0	32.0	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	50.83011221885681	4.948182106018066
