fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
2	100	103	4	1.0	1.0	WD	911	8185	62	59248	0.180951435097825	0.33573325745475957	0.10015391380826737	0.9362795477903392	0.8786202601100351	0.8794403999649154	0.9677096107073445	7690	3845	3845	68406	973	67433	203	9.06890058517456	0.3240687847137451
3	100	103	4	1.0	1.0	WD	916	8951	57	63520	0.16900369003690038	0.29172935900210967	0.09283470153035371	0.9414182939362795	0.8764885264450608	0.8773487282827732	0.9640157157947702	7690	3845	3845	73444	973	72471	203	9.693861722946167	0.36138129234313965
4	100	103	4	1.0	1.0	WD	848	8728	76	62083	0.16152380952380951	0.34240593262271457	0.0885547201336675	0.9177489177489178	0.8767423140472526	0.8772705095141842	0.9660453982098923	7788	3894	3894	71735	924	70811	203	12.62989592552185	0.3446993827819824
5	100	103	4	1.0	1.0	WD	908	8685	46	61941	0.17218166303214189	0.31148966454588367	0.09465235067236527	0.9517819706498952	0.8770282898649223	0.8780245878737077	0.9704383102629193	7728	3864	3864	71580	954	70626	203	10.448159217834473	0.3385627269744873
1	100	103	5	1.0	1.0	WD	929	7558	65	58602	0.19597088914671448	0.40439076956135506	0.10946152939790267	0.9346076458752515	0.8857617896009673	0.886484796140215	0.9711090454455876	7648	3824	3824	67154	994	66160	203	11.638791799545288	0.35971546173095703
2	100	103	5	1.0	1.0	WD	919	7582	54	59851	0.19400464428963482	0.389641984489407	0.10810492883190213	0.9445015416238438	0.8875624694140851	0.8883723649972225	0.9726331685720738	7690	3845	3845	68406	973	67433	203	12.064232587814331	0.397249698638916
3	100	103	5	1.0	1.0	WD	918	8279	55	64192	0.18053097345132743	0.3375097644886796	0.09981515711645102	0.9434737923946557	0.885761201032137	0.886525788355754	0.9683630478097608	7690	3845	3845	73444	973	72471	203	11.60243821144104	0.3659534454345703
4	100	103	5	1.0	1.0	WD	859	8098	65	62713	0.1738690415949803	0.3960954601318851	0.09590264597521492	0.9296536796536796	0.8856392368417336	0.8862061755070747	0.9711251358029401	7788	3894	3894	71735	924	70811	203	12.420456171035767	0.3707242012023926
5	100	103	5	1.0	1.0	WD	908	8066	46	62560	0.1829170024174053	0.3654923195996729	0.10118119010474705	0.9517819706498952	0.8857927675360349	0.8866722548197821	0.9746733479768618	7728	3864	3864	71580	954	70626	203	11.643508195877075	0.37795424461364746
1	100	103	6	1.0	1.0	WD	927	7079	67	59081	0.206	0.4570027394063087	0.11578815888083938	0.9325955734406438	0.8930018137847642	0.8935878726509218	0.9744013050491582	7648	3824	3824	67154	994	66160	203	14.319559574127197	0.3845791816711426
2	100	103	6	1.0	1.0	WD	922	7108	51	60325	0.20482061535043875	0.44663168177411433	0.11481942714819428	0.947584789311408	0.8945916687675174	0.8953454375347192	0.9761848039824357	7690	3845	3845	68406	973	67433	203	14.215550899505615	0.3792848587036133
3	100	103	6	1.0	1.0	WD	920	7709	53	64762	0.1916267444282441	0.38784629271478027	0.106617220998957	0.9455292908530318	0.8936264160836749	0.8943140351832689	0.9717063846483414	7690	3845	3845	73444	973	72471	203	30.543331146240234	0.3960545063018799
4	100	103	6	1.0	1.0	WD	862	7625	62	63186	0.18318988417808948	0.45279093749664096	0.10156710262754802	0.9329004329004329	0.8923189899874313	0.8928417090680979	0.9749933531372855	7788	3894	3894	71735	924	70811	203	14.281126260757446	0.38971638679504395
5	100	103	6	1.0	1.0	WD	909	7549	45	63077	0.19315767105822354	0.4176604168682995	0.10747221565381887	0.9528301886792453	0.8931130178687735	0.893908913104219	0.9777308657687844	7728	3864	3864	71580	954	70626	203	13.909842491149902	0.37712597846984863
1	100	103	7	1.0	1.0	WD	929	6727	65	59433	0.21479768786127168	0.5047445394636012	0.12134273772204807	0.9346076458752515	0.8983222490931076	0.898859338237484	0.9767644865565825	7648	3824	3824	67154	994	66160	203	15.793129920959473	0.41268467903137207
2	100	103	7	1.0	1.0	WD	926	6685	47	60748	0.21575023299161228	0.5019278416677738	0.12166600972276967	0.9516957862281603	0.9008645618614032	0.9015875800368389	0.9788160937911818	7690	3845	3845	68406	973	67433	203	16.85844349861145	0.5480179786682129
3	100	103	7	1.0	1.0	WD	918	7304	55	65167	0.19967373572593802	0.43636037371816305	0.11165166626125031	0.9434737923946557	0.899214858357136	0.8998012090844725	0.974185612863709	7690	3845	3845	73444	973	72471	203	16.899768590927124	0.44219303131103516
4	100	103	7	1.0	1.0	WD	868	7215	56	63596	0.19273898079271679	0.5036857836409001	0.10738587158233329	0.9393939393939394	0.898109050853681	0.8986408308357148	0.977698102032598	7788	3894	3894	71735	924	70811	203	16.31578278541565	0.4968719482421875
5	100	103	7	1.0	1.0	WD	911	7110	43	63516	0.20300835654596097	0.4691812196218501	0.11357686074055603	0.9549266247379455	0.8993288590604027	0.9000698519139424	0.9800206461520725	7728	3864	3864	71580	954	70626	203	16.718173027038574	0.4467806816101074
1	100	103	8	1.0	1.0	WD	933	6427	61	59733	0.22336605219056743	0.5489594286066886	0.1267663043478261	0.9386317907444668	0.9028567110036275	0.9033862465378086	0.9785427498485472	7648	3824	3824	67154	994	66160	203	17.167534112930298	0.42459535598754883
2	100	103	8	1.0	1.0	WD	927	6372	46	61061	0.2241295938104449	0.5517282386895692	0.12700369913686807	0.9527235354573484	0.9055062061601886	0.9061778206590065	0.9807218490054967	7690	3845	3845	68406	973	67433	203	17.411831855773926	0.41854429244995117
3	100	103	8	1.0	1.0	WD	918	6972	55	65499	0.2071533340855241	0.48385656958763035	0.11634980988593156	0.9434737923946557	0.9037960011590843	0.9043216600403028	0.9760882770374336	7690	3845	3845	73444	973	72471	203	17.305050134658813	0.5147063732147217
4	100	103	8	1.0	1.0	WD	867	6847	57	63964	0.20074091224820562	0.5531904659384769	0.1123930515945035	0.9383116883116883	0.9033059835336318	0.9037568829720499	0.9797053964944547	7788	3894	3894	71735	924	70811	203	17.2223162651062	0.45345282554626465
5	100	103	8	1.0	1.0	WD	911	6772	43	63854	0.21095287715642005	0.5165773382673395	0.11857347390342314	0.9549266247379455	0.9041146320052106	0.9047918412964515	0.9817268612096163	7728	3864	3864	71580	954	70626	203	17.370667695999146	0.4588477611541748
1	100	103	9	1.0	1.0	WD	932	6113	62	60047	0.2318696355268068	0.5906597832619896	0.13229240596167494	0.937625754527163	0.9076027811366385	0.908047175149656	0.9799312045185259	7648	3824	3824	67154	994	66160	203	19.010311365127563	0.44783663749694824
2	100	103	9	1.0	1.0	WD	928	6094	45	61339	0.23214509068167608	0.5999237744258791	0.13215608088863573	0.9537512846865365	0.9096288167514421	0.9102564102564102	0.9821523732688633	7690	3845	3845	68406	973	67433	203	18.392486333847046	0.4501681327819824
3	100	103	9	1.0	1.0	WD	919	6659	54	65812	0.21494562039527537	0.5244594272593062	0.12127210345737661	0.9445015416238438	0.9081149701259814	0.9085970263057568	0.9774910992146089	7690	3845	3845	73444	973	72471	203	18.291553258895874	0.4970240592956543
4	100	103	9	1.0	1.0	WD	869	6539	55	64272	0.20859337493999042	0.5977213093848062	0.11730561555075594	0.9404761904761905	0.9076555902331559	0.908078343904649	0.9812323714471686	7788	3894	3894	71735	924	70811	203	18.718348741531372	0.4809255599975586
5	100	103	9	1.0	1.0	WD	911	6480	43	64146	0.21833433193529062	0.5588336092795215	0.12325801650656204	0.9549266247379455	0.9082490867385948	0.9088711930706901	0.9830553669160864	7728	3864	3864	71580	954	70626	203	18.894880056381226	0.4995846748352051
1	100	103	10	1.0	1.0	WD	934	5861	60	60299	0.23982539478752085	0.6245352463170201	0.1374540103016924	0.9396378269617707	0.9114117291414752	0.911829526163743	0.9810075081687221	7648	3824	3824	67154	994	66160	203	19.630152225494385	0.4463462829589844
2	100	103	10	1.0	1.0	WD	928	5841	45	61592	0.23973133557220355	0.6406758200412439	0.13709558280395923	0.9537512846865365	0.9133806889801729	0.9139549162354179	0.9832118543488539	7690	3845	3845	68406	973	67433	203	19.641287088394165	0.45054030418395996
3	100	103	10	1.0	1.0	WD	920	6419	53	66052	0.22136669874879694	0.5618972686867157	0.12535767815778717	0.9455292908530318	0.9114266396213658	0.9118784379935734	0.9785765530651429	7690	3845	3845	73444	973	72471	203	19.842353582382202	0.5563106536865234
4	100	103	10	1.0	1.0	WD	869	6342	55	64469	0.2136447449293178	0.6353409756574198	0.12051033143808071	0.9404761904761905	0.9104376438688905	0.910824562626333	0.9823815496662935	7788	3894	3894	71735	924	70811	203	22.78512716293335	0.6009998321533203
5	100	103	10	1.0	1.0	WD	911	6215	43	64411	0.22549504950495045	0.5953471514407384	0.1278417064271681	0.9549266247379455	0.9120012460000566	0.9125733445096396	0.9840737528971965	7728	3864	3864	71580	954	70626	203	25.1603581905365	0.6091649532318115
1	100	103	11	1.0	1.0	WD	934	5652	60	60508	0.24643799472295513	0.6551147479522181	0.14181597327664744	0.9396378269617707	0.9145707376058041	0.9149417756202162	0.9818576817616703	7648	3824	3824	67154	994	66160	203	25.212925910949707	0.5898888111114502
2	100	103	11	1.0	1.0	WD	928	5613	45	61820	0.2470055895661432	0.6774038378104119	0.14187433114202722	0.9537512846865365	0.9167618228463809	0.9172879571967372	0.9840344591439389	7690	3845	3845	68406	973	67433	203	23.501592874526978	0.6205875873565674
3	100	103	11	1.0	1.0	WD	919	6224	54	66247	0.2264662395268605	0.5956702475603315	0.12865742685146297	0.9445015416238438	0.9141173710863656	0.914519906323185	0.9794565591768124	7690	3845	3845	73444	973	72471	203	25.54775643348694	0.5947606563568115
4	100	103	11	1.0	1.0	WD	870	6145	54	64666	0.2191711802494017	0.6687770602832229	0.1240199572344975	0.9415584415584416	0.913219697504625	0.9135847215445738	0.9832840190835417	7788	3894	3894	71735	924	70811	203	23.857380628585815	0.6259863376617432
5	100	103	11	1.0	1.0	WD	910	6036	44	64590	0.23037974683544302	0.6269412733930896	0.13101065361359054	0.9538784067085954	0.9145357233879874	0.9150600726459905	0.984875626480434	7728	3864	3864	71580	954	70626	203	26.44695782661438	0.5455846786499023
