fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	0	1	1	1.0	1.0	WD	878	17090	116	49070	0.09260626516190275	0.044889506883370005	0.048864648263579696	0.8832997987927566	0.7416868198307134	0.7437829466599161	0.8124933093117349	7648	3824	3824	67154	994	66160	1	1.2372138500213623	0.012845277786254883
2	0	1	1	1.0	1.0	WD	861	17447	112	49986	0.08931072039831958	0.04325253815858334	0.04702862136770811	0.8848920863309353	0.741269111562588	0.7433119901763003	0.8130805989467617	7690	3845	3845	68406	973	67433	1	1.3210160732269287	0.007778644561767578
3	0	1	1	1.0	1.0	WD	869	19082	104	53389	0.0830625119480023	0.04031715939143345	0.04355671394917548	0.8931140801644398	0.7366946778711485	0.7387669516910844	0.8149043790177941	7690	3845	3845	73444	973	72471	1	1.2940771579742432	0.00888514518737793
4	0	1	1	1.0	1.0	WD	820	18735	104	52076	0.08008203525562772	0.03866305723585094	0.04193300946049604	0.8874458874458875	0.7354224626117412	0.7373806370669826	0.8114341750288143	7788	3894	3894	71735	924	70811	1	1.2524023056030273	0.008076667785644531
5	0	1	1	1.0	1.0	WD	858	18186	96	52440	0.0858085808580858	0.04186102533404705	0.04505356017643352	0.89937106918239	0.7425027610228527	0.744593461860855	0.8209369151026213	7728	3864	3864	71580	954	70626	1	1.2544517517089844	0.008147954940795898
1	0	2	2	1.0	1.0	WD	878	17090	116	49070	0.09260626516190275	0.04521971601213074	0.048864648263579696	0.8832997987927566	0.7416868198307134	0.7437829466599161	0.8164017813045138	7648	3824	3824	67154	994	66160	2	1.244121789932251	0.015480995178222656
2	0	2	2	1.0	1.0	WD	861	17447	112	49986	0.08931072039831958	0.04357940688269731	0.04702862136770811	0.8848920863309353	0.741269111562588	0.7433119901763003	0.817825989022883	7690	3845	3845	68406	973	67433	2	1.3075752258300781	0.01153421401977539
3	0	2	2	1.0	1.0	WD	869	19082	104	53389	0.0830625119480023	0.04061055375975624	0.04355671394917548	0.8931140801644398	0.7366946778711485	0.7387669516910844	0.8206851794834247	7690	3845	3845	73444	973	72471	2	1.3163762092590332	0.012024402618408203
4	0	2	2	1.0	1.0	WD	820	18735	104	52076	0.08008203525562772	0.03893844862363437	0.04193300946049604	0.8874458874458875	0.7354224626117412	0.7373806370669826	0.8155606097592513	7788	3894	3894	71735	924	70811	2	1.2665705680847168	0.011867523193359375
5	0	2	2	1.0	1.0	WD	858	18186	96	52440	0.0858085808580858	0.04214998890745836	0.04505356017643352	0.89937106918239	0.7425027610228527	0.744593461860855	0.8248893498162969	7728	3864	3864	71580	954	70626	2	1.2779970169067383	0.013029813766479492
1	0	3	3	1.0	1.0	WD	878	17090	116	49070	0.09260626516190275	0.04521971601213074	0.048864648263579696	0.8832997987927566	0.7416868198307134	0.7437829466599161	0.8164017813045138	7648	3824	3824	67154	994	66160	3	1.293870210647583	0.013105392456054688
