fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	40	287	327	0.5	0.5	WD	676	6	318	66154	0.8066825775656326	0.8628637387693927	0.9912023460410557	0.6800804828973843	0.9999093107617896	0.9951752687851804	0.9824580493845784	7648	3824	3824	67154	994	66160	327	32.56467008590698	4.385761499404907
2	40	287	327	0.5	0.5	WD	683	4	290	67429	0.8228915662650602	0.8912877694058521	0.9941775836972343	0.7019527235354573	0.9999406818619964	0.9957021313919832	0.9826820299831242	7690	3845	3845	68406	973	67433	327	32.98681688308716	4.357714653015137
3	40	287	327	0.5	0.5	WD	683	4	290	72467	0.8228915662650602	0.8804496318506684	0.9941775836972343	0.7019527235354573	0.9999448055084103	0.9959969500571865	0.9822563891063035	7690	3845	3845	73444	973	72471	327	36.00822830200195	4.729644775390625
4	40	287	327	0.5	0.5	WD	657	4	267	70807	0.8290220820189275	0.8821797684981557	0.9939485627836612	0.711038961038961	0.9999435116013049	0.9962222067331149	0.9842237500581543	7788	3894	3894	71735	924	70811	327	36.369433641433716	4.746996164321899
5	40	287	327	0.5	0.5	WD	660	1	294	70625	0.8173374613003097	0.8716360226080664	0.9984871406959153	0.6918238993710691	0.9999858409084473	0.9958787370773959	0.9860904290418463	7728	3864	3864	71580	954	70626	327	36.33562111854553	4.89444375038147
1	40	287	327	0.75	0.75	WD	738	8	256	66152	0.8482758620689655	0.8688431527066396	0.9892761394101877	0.7424547283702213	0.9998790810157194	0.9960687375286654	0.9840301786535416	7648	3824	3824	67154	994	66160	327	45.84420037269592	4.445406675338745
2	40	287	327	0.75	0.75	WD	763	7	210	67426	0.8755020080321285	0.8966140334568287	0.990909090909091	0.7841726618705036	0.9998961932584937	0.9968277636464637	0.9838574496745726	7690	3845	3845	68406	973	67433	327	47.54393815994263	4.553995847702026
3	40	287	327	0.75	0.75	WD	764	13	209	72458	0.8731428571428571	0.8825076562196837	0.9832689832689833	0.7852004110996916	0.9998206179023333	0.9969772888186917	0.9830185892977171	7690	3845	3845	73444	973	72471	327	47.24582839012146	4.790337562561035
4	40	287	327	0.75	0.75	WD	718	9	206	70802	0.8697758933979407	0.8848756147506389	0.9876203576341128	0.7770562770562771	0.999872901102936	0.9970028577402942	0.9857887813184307	7788	3894	3894	71735	924	70811	327	45.31473088264465	4.513716220855713
5	40	287	327	0.75	0.75	WD	721	3	233	70623	0.8593563766388558	0.8768043426518645	0.9958563535911602	0.7557651991614256	0.999957522725342	0.9967029896619167	0.9872667022514023	7728	3864	3864	71580	954	70626	327	45.47143340110779	4.562703609466553
1	40	287	327	1.0	1.0	WD	762	16	232	66144	0.8600451467268624	0.8724117643471737	0.9794344473007712	0.7665995975855131	0.999758162031439	0.9963069958602615	0.984812487378929	7648	3824	3824	67154	994	66160	327	46.035367250442505	4.587333679199219
2	40	287	327	1.0	1.0	WD	786	19	187	67414	0.8841394825646793	0.8977810407649052	0.9763975155279503	0.8078108941418294	0.9997182388444826	0.9969885682542468	0.9843833266102554	7690	3845	3845	68406	973	67433	327	44.64998745918274	4.868014335632324
3	40	287	327	1.0	1.0	WD	784	22	189	72449	0.8813940415964024	0.8825831027276548	0.9727047146401985	0.8057553956834532	0.9996964302962564	0.997127062796144	0.9832709069735559	7690	3845	3845	73444	973	72471	327	42.21860074996948	4.341276168823242
4	40	287	327	1.0	1.0	WD	747	13	177	70798	0.8871733966745844	0.8900144647356003	0.9828947368421053	0.8084415584415584	0.9998164127042408	0.9973513626542134	0.9865384294427805	7788	3894	3894	71735	924	70811	327	47.46016454696655	4.851803541183472
5	40	287	327	1.0	1.0	WD	746	18	208	70608	0.8684516880093132	0.8792571584978711	0.9764397905759162	0.7819706498951782	0.9997451363520516	0.9968426934898016	0.9877126394262368	7728	3864	3864	71580	954	70626	327	50.98658895492554	4.414492130279541
1	40	287	327	1.25	1.25	WD	780	28	214	66132	0.8657047724750278	0.877367885738516	0.9653465346534653	0.7847082494969819	0.9995767835550181	0.99639634273461	0.9853205691221087	7648	3824	3824	67154	994	66160	327	52.11323595046997	4.584038019180298
2	40	287	327	1.25	1.25	WD	802	36	171	67397	0.8856985091109885	0.8973488065815548	0.9570405727923628	0.8242548818088387	0.9994661367579671	0.9969739496535391	0.9848571096621521	7690	3845	3845	68406	973	67433	327	57.1674907207489	4.675318717956543
3	40	287	327	1.25	1.25	WD	800	48	173	72423	0.8786381109280614	0.8832909072659996	0.9433962264150944	0.8221993833504625	0.9993376661009231	0.9969909046348238	0.9835095252971656	7690	3845	3845	73444	973	72471	327	54.51003623008728	4.2778754234313965
4	40	287	327	1.25	1.25	WD	760	25	164	70786	0.8894090111176126	0.8899702670941386	0.9681528662420382	0.8225108225108225	0.9996469475081555	0.9973653028507702	0.9868908400210035	7788	3894	3894	71735	924	70811	327	59.597681522369385	5.021712303161621
5	40	287	327	1.25	1.25	WD	760	50	194	70576	0.8616780045351474	0.8817035182491901	0.9382716049382716	0.7966457023060797	0.9992920454223657	0.9965912265996089	0.9881223180469169	7728	3864	3864	71580	954	70626	327	56.88213801383972	4.751744508743286
1	40	287	327	1.5	1.5	WD	783	30	211	66130	0.8666297731045931	0.8781943009246398	0.9630996309963099	0.7877263581488934	0.999546553808948	0.9964112338803347	0.9855435211024308	7648	3824	3824	67154	994	66160	327	54.49676275253296	4.203302621841431
2	40	287	327	1.5	1.5	WD	807	41	166	67392	0.886326194398682	0.8975468813947513	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851827955025938	7690	3845	3845	68406	973	67433	327	49.349400997161865	4.532400608062744
3	40	287	327	1.5	1.5	WD	801	52	172	72419	0.8773274917853231	0.8841528457258652	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836165674406702	7690	3845	3845	73444	973	72471	327	51.06346273422241	4.24066686630249
4	40	287	327	1.5	1.5	WD	764	28	160	70783	0.8904428904428905	0.8877136374875652	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870045198666457	7788	3894	3894	71735	924	70811	327	54.28033423423767	4.778648376464844
5	40	287	327	1.5	1.5	WD	765	52	189	70574	0.8639186900056466	0.8827351009559395	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883489822462802	7728	3864	3864	71580	954	70626	327	60.55810308456421	4.6615095138549805
1	40	287	327	1.75	1.75	WD	783	31	211	66129	0.8661504424778761	0.878577175458983	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855623766784504	7648	3824	3824	67154	994	66160	327	49.83255171775818	4.125277280807495
2	40	287	327	1.75	1.75	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	49.19795274734497	4.113105297088623
3	40	287	327	1.75	1.75	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	47.525153160095215	4.323333978652954
4	40	287	327	1.75	1.75	WD	764	28	160	70783	0.8904428904428905	0.8875397680711299	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9870174956919953	7788	3894	3894	71735	924	70811	327	55.30915927886963	4.731835842132568
5	40	287	327	1.75	1.75	WD	765	52	189	70574	0.8639186900056466	0.8827581272894753	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883647887793028	7728	3864	3864	71580	954	70626	327	52.781264543533325	4.489506959915161
1	40	287	327	2.0	2.0	WD	783	31	211	66129	0.8661504424778761	0.8767133521930203	0.961916461916462	0.7877263581488934	0.9995314389359129	0.99639634273461	0.9855565679445477	7648	3824	3824	67154	994	66160	327	54.50867533683777	4.549556493759155
2	40	287	327	2.0	2.0	WD	807	41	166	67392	0.886326194398682	0.8976278831934593	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851964209947253	7690	3845	3845	68406	973	67433	327	49.91653060913086	4.286929130554199
3	40	287	327	2.0	2.0	WD	801	52	172	72419	0.8773274917853231	0.8844058612967095	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836221124165724	7690	3845	3845	73444	973	72471	327	52.62876868247986	4.786537170410156
